city,population_city_2015,population_city_2018
Lexington,1190,1206
Liberty,9202,9754
Liberty City CDP,2461,2647
Liberty Hill,1638,2088
Lindale,0,6434
Linden,5495,1967
Lindsay (Cooke),1973,1127
Lindsay CDP (Reeves),1083,282
Linn CDP,263,765
Lipan,795,483
Lipscomb CDP,444,28
Little Elm,27,58610
Littlefield,38833,5915
Little River-Academy,5940,2076
Live Oak,1929,16084
Liverpool,15724,573
Livingston,531,5302
Llano,5217,3507
Llano Grande CDP,3303,2728
Lockhart,3318,13889
Lockney,13392,1645
Log Cabin,1684,784
Lolita CDP,740,637
Loma Grande CDP,570,107
Loma Linda CDP,105,128
Loma Linda East CDP (Jim Wells),120,276
Loma Linda East CDP (Starr),254,40
Loma Linda West CDP,42,126
Loma Vista CDP,126,171
Lometa,167,859
Lone Oak,857,676
Lone Star,633,1467
Longoria CDP,1553,95
Longview,98,82894
Loop CDP,82822,256
Lopeno CDP,225,183
Lopezville CDP,185,4251
Loraine,4475,570
Lorena,582,1776
Lorenzo,1771,1160
Los Altos CDP,1199,149
Los Alvarez CDP,150,287
Los Angeles CDP,292,141
Los Arcos CDP,135,136
Los Arrieros CDP,138,91
Los Barreras CDP,94,302
Los Centenarios CDP,300,98
Los Corralitos CDP,99,50
Los Ebanos CDP (Hidalgo),41,318
Los Ebanos CDP (Starr),353,298
Los Fresnos (Cameron),294,8030
Los Fresnos CDP (Webb),5938,85
Los Huisaches CDP,78,16
Los Indios,16,1060
Los Lobos CDP,1106,7
Los Minerales CDP,7,16
Los Nopalitos CDP,20,62
Lost Creek CDP,68,4539
Los Veteranos I CDP,4499,22
Los Veteranos II CDP,24,29
Los Ybanez,29,17
Lott,18,782
Louise CDP,743,1027
Lovelady,1005,638
Lowry Crossing,626,1726
Lozano CDP,2010,436
Lubbock,440,256600
Lucas,250705,8066
Lueders,6602,327
Lufkin,336,37047
Luling,37090,6016
Lumberton,5718,12834
Lyford,12717,2576
Lytle,2579,3023
Mabank,2866,4093
McAllen,3279,144379
McCamey,142689,2103
McDade CDP,1945,719
Macdona CDP,772,590
McGregor,625,5296
McKinney,5145,185862
McKinney Acres CDP,165893,1080
McLean,1018,747
McLendon-Chisholm,790,3113
McQueeney CDP,2000,2614
Madisonville,2689,4778
Magnolia,4720,2153
Malakoff,1872,2442
Malone,2370,276
Manchaca CDP,271,1212
Manor,1303,14078
Mansfield,7896,69909
Manuel Garcia CDP,64523,175
Manuel Garcia II CDP,210,78
Manvel,75,13532
Marathon CDP,8171,394
Marble Falls,413,7125
Marfa,6312,1666
Marietta,1878,132
Marion,134,1241
Markham CDP,1110,1140
Marlin,1045,5665
Marquez,5661,270
Marshall,276,24444
Mart,24842,2041
Martindale,1928,1265
Martinez CDP,1224,69
Mason,73,2293
Matador,2152,615
Matagorda CDP,535,462
Mathis,456,4745
Maud,5000,1079
Mauriceville CDP,1147,3905
Maypearl,3432,1146
Meadow,1092,578
Meadowlakes,555,1827
Meadows Place,1954,4409
Medina CDP,5156,4265
Megargel,4306,198
Melissa,195,12280
Melvin,6752,174
Memphis,183,2148
Menard,2113,1400
Mentone CDP,1464,32
Mercedes,22,17086
Meridian,17193,1511
Merkel,1462,2656
Mertens,2676,128
Mertzon,128,835
"Mesquite (Dallas, Kaufman)",769,140594
Mesquite CDP (Starr),144738,550
Mexia,543,7709
Miami,7725,551
Midland,593,144600
Midlothian,135175,28301
Midway,20717,242
Midway North CDP,237,5037
Midway South CDP,5084,2569
Miguel Barrera CDP,2464,134
Mikes CDP,133,982
Mila Doce CDP,986,6745
Milam CDP,6903,1508
Milano,1559,456
Mildred,409,390
Miles,376,835
Milford,870,764
Miller's Cove,751,156
Millican,151,240
Millsap,254,446
Mineola,440,4843
Mineral Wells,4788,17295
Mingus,16486,249
Mi Ranchito Estate CDP,232,255
Mirando City CDP,267,352
Mission,396,86309
Mission Bend CDP,82995,45175
Missouri City,41351,79390
Mobeetie,76044,96
Mobile City,107,208
Monahans,200,7638
Montague CDP,7262,300
Mont Belvieu,304,5933
Monte Alto CDP,5054,1975
Montgomery,2102,1156
Moody,843,1426
Moore CDP,1398,478
Moore Station,522,205
Moraida CDP,204,230
Morales-Sanchez CDP,231,77
Moran,77,260
Morgan,285,515
Morgan Farm CDP,490,466
Morgan's Point,466,360
Morgan's Point Resort,377,4702
Morning Glory CDP,4184,600
Morse CDP,640,115
Morton,137,1781
Moulton,1922,903
Mountain City,905,797
Mount Calm,719,332
Mount Enterprise,320,439
Mount Pleasant,446,17237
Mount Vernon,17210,2739
Muenster,2838,1634
Muleshoe,1612,5261
Mullin,5134,180
Munday,178,1169
Muniz CDP,1287,1581
Murchison,1531,611
Murillo CDP,601,9070
Murphy,8184,20805
Mustang,20727,23
Mustang Ridge,24,994
Myrtle Springs CDP,970,890
Nacogdoches,970,33676
Naples,34099,1339
Narciso Pena CDP,1381,36
Nash,35,3858
Nassau Bay,3436,4138
Natalia,4082,1627
Navarro,1485,211
Navasota,215,7937
Nazareth,7587,304
Nederland,295,17302
Needville,17244,3416
Nesbitt,3296,269
Netos CDP,271,39
Nevada,35,1089
Newark,1017,1228
New Berlin,1067,608
New Boston,588,4660
New Braunfels,4970,84560
Newcastle,72095,559
New Chapel Hill,589,630
New Deal,604,825
New Fairview,816,1581
New Falcon CDP,1394,173
New Home,180,366
New Hope,348,650
New London,626,996
New Summerfield,995,1214
New Territory CDP,1186,19291
Newton,16182,2352
New Waverly,2388,1091
Neylandville,1041,106
Niederwald,105,648
Nina CDP,624,147
Nixon,153,2503
Nocona,2463,3036
Nocona Hills CDP,3005,630
Nolanville,682,5540
Nome,4846,596
Noonday,572,805
Nordheim,815,316
Normangee,318,683
Normanna CDP,717,109
North Alamo CDP,113,3901
North Cleveland,3714,304
North Escobares CDP,255,107
Northlake,108,3354
North Pearsall CDP,2453,681
North Richland Hills,656,70980
Northridge CDP,68805,91
North San Pedro CDP,88,854
Novice,898,137
Oak Grove,135,702
Oakhurst CDP,672,241
Oak Island CDP,238,385
Oak Leaf,368,1479
Oak Point,1383,4534
Oak Ridge (Cooke),3224,200
Oak Ridge (Kaufman),138,661
Oak Ridge North,588,3476
Oak Trail Shores CDP,3203,3416
Oak Valley,3180,401
Oakwood,395,522
O'Brien,517,104
Odem,104,2390
Odessa,2459,125720
O'Donnell,119860,827
Oglesby,810,469
Oilton CDP,493,373
Old Escobares CDP,377,106
Old River-Winfree,104,1400
Olivarez CDP,1299,4791
Olivia Lopez de Gutierrez CDP,4541,76
Olmito CDP (Cameron),82,1169
Olmito and Olmito CDP (Starr),1243,308
Olmos Park,294,2437
Olney,2366,3138
Olton,3291,2045
Omaha,2112,982
Onalaska,1010,2536
Opdyke West,1926,179
Orange,173,18847
Orange Grove,19271,1309
Orason CDP,1326,131
Orchard,131,430
Ore City,376,1219
Overton,1165,2500
Ovilla,2537,4432
Owl Ranch CDP,3923,201
Oyster Creek,195,1199
Ozona CDP,1110,3012
Pablo Pena CDP,3276,68
Paducah,66,1067
Paint Rock,1112,123
Paisano Park CDP,271,121
Palacios,128,4547
Palestine,4649,18882
Palisades,19683,348
Palmer,352,2234
Palmhurst,2051,2766
Palm Valley,2686,1259
Palmview,1273,7310
Palmview South CDP,6738,6132
Palo Blanco CDP,6014,223
Paloma Creek CDP,221,3049
Paloma Creek South CDP,2932,3403
Palo Pinto CDP,3293,351
Pampa,330,17074
Panhandle,18250,2430
Panorama Village,2336,2387
Pantego,2276,2453
Paradise,2357,572
Paris,466,25330
Parker,25612,5021
Pasadena,4421,153528
Pattison,154375,601
Patton Village,535,2080
Pawnee CDP,1652,156
Payne Springs,156,798
Pearland,783,124018
Pearsall,112704,10656
Pecan Acres CDP,10041,4374
Pecan Gap,4497,204
Pecan Grove CDP,199,19886
Pecan Hill,17647,689
Pecan Plantation CDP,656,5761
Pecos,5530,10331
Pelican Bay,9394,1772
Pena CDP,1650,122
Penelope,125,207
Penitas,200,4810
Perezville CDP,4899,6003
Perrin CDP,5856,446
Perryton,438,8677
Petersburg,9440,1149
Petrolia,1143,670
Petronila,661,112
Pettus CDP,116,558
Pflugerville,556,68924
Pharr,56313,81399
Pilot Point,78815,4563
Pine Forest,4450,505
Pine Harbor CDP,519,797
Pinehurst CDP (Montgomery),817,5507
Pinehurst (Orange),5086,2163
Pine Island,2097,1190
Pineland,1110,823
Pinewood Estates CDP,811,1680
Piney Point Village,1679,3449
Pittsburg,3453,4724
Placedo CDP,4606,756
Plains,764,1669
Plainview,1659,20740
Plano,21824,290441
Plantersville,296641,938
Pleak,1375,1450
Pleasant Hill CDP,543,593
Pleasanton,10291,10794
Pleasant Valley,335,338
Plum Grove,643,701
Point,821,943
Point Blank,740,749
Point Comfort,710,702
Point Venture,942,985
Ponder,1694,2520
Port Aransas,3903,4159
Port Arthur,54942,54440
Porter Heights CDP,1824,2000
Port Isabel,5122,5130
Portland,15660,22151
Port Lavaca,12283,12433
Port Mansfield CDP,177,168
Port Neches,12747,12733
Port O'Connor CDP,1175,1211
Post,5429,5308
Post Oak Bend City,696,688
Poteet,3531,3482
Poth,2259,2332
Potosi CDP,3239,3536
Pottsboro,2245,2522
Powderly CDP,1166,1214
Powell,151,148
Poynor,309,319
Prado Verde CDP,258,275
Prairie View,6435,6560
Premont,2628,2554
Presidio,4172,3961
Preston CDP,2296,2052
Primera,4910,5146
Princeton,8710,11860
Progreso,6037,6103
Progreso Lakes,222,240
Prosper,17348,27715
Providence Village,6034,6324
Pueblo Nuevo CDP,565,577
Putnam,98,97
Pyote,122,131
Quail CDP,19,15
Quail Creek CDP,1795,1819
Quanah,2388,2388
Queen City,1495,1484
Quemado CDP,224,226
Quesada CDP,28,34
Quinlan,1456,1565
Quintana,114,119
Quitaque,362,379
Quitman,1839,1888
Radar Base CDP,845,960
Rafael Pena CDP,17,13
Ralls,1915,1834
Ramireno CDP,30,25
Ramirez-Perez CDP,78,73
Ramos CDP,121,118
Ranchette Estates CDP,143,139
Ranchitos Del Norte CDP,103,102
Ranchitos East CDP,245,233
Ranchitos Las Lomas CDP,304,297
Rancho Alegre CDP,1681,1576
Rancho Banquete CDP,425,387
Rancho Chico CDP,440,506
Ranchos Penitas West CDP,592,536
Rancho Viejo (Cameron),2576,2573
Rancho Viejo CDP (Starr),247,268
Randolph AFB CDP,1353,1387
Ranger,2442,2414
Rangerville,335,355
Rankin,808,856
Ransom Canyon,1121,1103
Ratamosa CDP,261,267
Ravenna,205,213
Raymondville,11132,11144
Realitos CDP,174,154
Redfield CDP,426,414
Redford CDP,81,71
Redland CDP,1096,1149
Red Lick,1045,1054
Red Oak,12211,13153
Redwater,1147,1126
Redwood CDP,4851,5078
Refugio,2885,2691
Regino Ramirez CDP,97,91
Reid Hope King CDP,868,855
Reklaw,385,384
Relampago CDP,148,141
Rendon CDP,13907,14172
Reno (Lamar),3296,3362
"Reno (Parker, Tarrant)",2756,3027
Retreat,403,410
Rhome,1665,1933
Ricardo CDP,990,1052
Rice,983,1024
Richardson,115702,125740
Richland,257,270
Richland Hills,7848,7858
Richland Springs,342,350
Richmond,13511,13271
Richwood,3874,4247
Riesel,1033,1051
Rio Bravo,4852,4833
Rio Grande City,15040,15049
Rio Hondo,2473,2720
Rio Vista,946,1073
Rising Star,822,836
Rivera CDP,178,179
Rivereno CDP,63,60
River Oaks,7795,8029
Riverside,549,559
Riviera CDP,663,703
Roanoke,7585,9282
Roaring Springs,222,237
Robert Lee,1000,1073
Robinson,11963,11904
Robstown,11434,11207
Roby,624,606
Rochester,316,316
Rockdale,5546,5685
Rockport,10184,10244
Rocksprings,1118,1130
Rockwall,44150,44121
Rocky Mound,67,71
Rogers,1248,1226
Rollingwood,1539,1589
Roma,10114,11484
Roma Creek CDP,350,333
Roman Forest,1901,2067
Ropesville,440,422
Roscoe,1266,1273
Rosebud,1364,1344
Rose City,520,511
Rose Hill Acres,448,415
Rosenberg,40882,41345
Rosharon CDP,1245,1401
Rosita CDP,2775,2657
Ross,300,285
Rosser,362,382
Rotan,1441,1408
Round Mountain,203,186
Round Rock,120068,130282
Round Top,92,88
Rowlett,61324,68867
Roxton,671,656
Royse City,12133,13013
Rule,615,623
Runaway Bay,1411,1540
Runge,1129,1158
Rusk,5513,5745
Sabinal,1742,1751
Sachse,24772,26312
Sadler,314,345
Saginaw,21674,24294
St. Hedwig,2393,2516
St. Jo,1038,1088
St. Paul (Collin),1370,1101
St. Paul CDP (San Patricio),608,639
Salado,1985,2096
Salineno CDP,187,171
Salineno North CDP,128,108
Sammy Martinez CDP,112,109
Samnorwood CDP,58,59
Sam Rayburn CDP,1091,1164
San Angelo,101772,99794
San Antonio City,1462766,1544672
San Augustine,2032,1911
San Benito,24542,24640
San Carlos CDP (Hidalgo),3422,3564
San Carlos I CDP (Webb),340,342
San Carlos II CDP (Webb),292,284
Sanctuary,346,333
Sanderson CDP,744,719
Sandia CDP,367,339
San Diego,4336,4279
Sandoval CDP,35,38
Sand Springs CDP,862,858
Sandy Hollow-Escondidas CDP,305,261
Sandy Oaks City,218,4601
Sandy Point,14533,245
San Elizario,815,14268
San Felipe,73,874
San Fernando CDP,159,71
Sanford,8919,153
Sanger,231,9241
San Isidro CDP,36836,219
San Juan (Hidalgo),136,38110
San Juan CDP (Starr),542,130
San Leanna,5482,546
San Leon CDP,58059,5580
San Marcos,439,66466
San Patricio,543,429
San Pedro CDP,555,478
San Perlita,3106,565
San Saba,4898,3317
Sansom Park,1054,5558
Santa Anna (Coleman),18,1051
Santa Anna CDP (Starr),755,7
Santa Clara,53,733
Santa Cruz CDP,13025,65
Santa Fe,754,13624
Santa Maria CDP,87,674
Santa Monica CDP,2931,76
Santa Rosa (Cameron),242,2758
Santa Rosa CDP (Starr),47,238
Santel CDP,651,41
San Ygnacio CDP,239,545
Sarita CDP,3934,255
Savannah CDP,855,4001
Savoy,5506,846
Scenic Oaks CDP,37841,5735
Schertz,3049,42725
Schulenburg,3377,2935
Scissors CDP,482,3156
Scotland,371,523
Scottsville,740,370
Scurry,13927,772
Seabrook,1453,14150
Seadrift,15968,1524
Seagoville,2704,16903
Seagraves,6542,2886
Sealy,1801,6946
Sebastian CDP,583,1734
Seco Mines CDP,28430,587
Seguin,8407,31239
Selma,7356,13985
Seminole,1591,7641
Serenada CDP,2000,1657
Seth Ward CDP,108,1949
Seven Oaks,1470,118
Seven Points,2606,1535
Seymour,2002,2766
Shadybrook CDP,5063,2147
Shady Hollow CDP,3109,5099
Shady Shores,2541,3169
Shallowater,1991,2501
Shamrock,3477,1797
Shavano Park,2093,4030
Sheldon CDP,2908,2064
Shenandoah,2383,3133
Shepherd,40966,2600
Sherman,1085,44192
Sherwood Shores CDP,2117,1172
Shiner,1598,2218
Shoreacres,16701,1581
Sienna Plantation CDP,554,18645
Sierra Blanca CDP,1989,565
Siesta Acres CDP,1477,1992
Siesta Shores CDP,6880,1566
Silsbee,645,6815
Silverton,972,691
Simonton,5729,945
Sinton,450,5133
Skellytown,922,456
Skidmore CDP,6165,939
Slaton,558,5948
Smiley,4068,556
Smithville,484,4558
Smyer,522,474
Snook,11707,541
Snyder,32957,11380
Socorro,533,34887
Solis CDP,1777,441
Somerset,1433,1909
Somerville,3358,1511
Sonora,1854,3049
Sour Lake,3744,1940
South Alamo CDP,76,3269
South Fork Estates CDP,17771,78
South Houston,30388,17666
Southlake,326,31797
South La Paloma CDP,1021,331
Southmayd,374,1107
South Mountain,2804,362
South Padre Island,1435,2833
South Point CDP,1876,1417
Southside Place,468,1849
South Toledo Bend CDP,63,414
Spade CDP,5230,65
Sparks CDP,3403,5410
Spearman,1827,3291
Splendora,108,2165
Spofford,60764,103
Spring CDP,618,68371
Spring Branch,102,255
Spring Gardens CDP,3013,646
Springlake,4169,96
Springtown,1217,3086
Spring Valley Village,18642,4354
Spur,585,1233
Stafford,2953,19260
Stagecoach,2900,607
Stamford,274,2963
Stanton,465,3085
Staples,19719,271
Star Harbor,996,492
Stephenville,1835,22065
Sterling City,1552,992
Stinnett,513,1756
Stockdale,1875,1687
Stonewall CDP,2175,539
Stowell CDP,652,2022
Stratford,253,2119
Strawn,239,666
Streetman,884,252
Study Butte CDP,94961,244
Sudan,4178,894
Sugar Land,16229,129423
Sullivan City,1383,4282
Sulphur Springs,6111,16199
Sundown,1960,1410
Sunnyvale,735,6715
Sunray,512,1813
Sunrise Beach Village,51,802
Sunset CDP (Montague),23,560
Sunset CDP (Starr),730,51
Sunset Acres CDP,80,17
Sunset Valley,573,698
Sun Valley,3885,82
Surfside Beach,10617,581
Sweeny,3088,4182
Sweetwater,1485,10434
Taft,2644,2972
Taft Southwest CDP,510,1351
Tahoka,1967,2678
Talco,248,518
Talty,56,2664
Tanquecitos South Acres CDP,1411,242
Tanquecitos South Acres II CDP,17217,52
Tatum,3654,1455
Taylor,208,17597
Taylor Lake Village,3673,3623
Taylor Landing,302,211
Teague,71852,3588
Tehuacana,1107,288
Temple,49,77295
Tenaha,17131,1163
Terlingua CDP,5308,43
Terrell,38181,18120
Terrell Hills,49688,5307
Texarkana,342,38816
Texas City,541,50946
Texhoma,42937,340
Texline,2622,531
The Colony,110114,46384
The Hills,303,2514
The Woodlands CDP,51,124511
Thompsons,1316,307
Thompsonville CDP,533,51
Thorndale,510,1416
Thornton,931,541
Thorntonville,1993,515
Thrall,771,999
Three Rivers,606,1975
Throckmorton,129,764
Thunderbird Bay CDP,33,618
Tierra Bonita CDP,435,123
Tierra Dorada CDP,305,35
Tierra Grande CDP,1051,429
Tierra Verde CDP,340,304
Tiki Island,457,1057
Tilden CDP,15950,288
Timbercreek Canyon,1164,492
Timberwood Park CDP,838,16617
Timpson,308,1133
Tioga,506,1019
Tira,80,313
Tivoli CDP,113,474
Toco,826,72
Todd Mission,11647,120
Tolar,1054,985
Tomball,2350,11691
Tom Bean,1524,1150
Tool,100,2404
Tornillo CDP,187,1452
Toyah,2766,99
Tradewinds CDP,355,195
Travis Ranch CDP,634,2964
Trent,894,340
Trenton,2748,692
Trinidad,13431,891
Trinity,1909,2765
Trophy Club,1855,14169
Troup,295,2171
Troy,4752,1956
Tuleta CDP,13,304
Tulia,405,4688
Tulsita CDP,732,3
Turkey,1286,383
Tuscola,104346,752
Tye,270,1314
Tyler,1215,107549
Tynan CDP,114,282
Uhland,359,1364
Uncertain,348,94
Union Grove,20817,373
Union Valley,23655,399
Universal City,222,21822
University Park,16585,25458
Utopia CDP,2346,219
Uvalde,115,16368
Uvalde Estates CDP,500,2402
Valentine,1193,125
Valle Vista CDP,773,506
Valley Mills,2429,1292
Valley View,2717,842
Val Verde Park CDP,3371,2690
Van,417,2900
Van Alstyne,1982,4658
Vanderbilt CDP,1985,461
Van Horn,867,1852
Van Vleck CDP,3349,2218
Vega,10197,905
Venus,67141,5370
Vernon,107,10188
Victoria,10879,67326
Victoria Vera CDP,199,108
Vidor,856,10955
Villa del Sol CDP,138,193
Villa Pancho CDP,887,943
Villarreal CDP,1958,147
Villa Verde CDP,598,855
Vinton,1185,2069
Volente,135662,616
Von Ormy,1107,1335
Waco,5621,139324
Waelder,2653,1148
Wake Village,1325,5757
Waller,866,3458
Wallis,812,1379
Walnut Springs,331,927
Warren CDP (Tyler),2183,867
"Warren City (Gregg, Upshur)",24406,280
Waskom,33869,2268
Watauga,29342,24391
Waxahachie,428,38643
Weatherford,11473,31188
Webberville,2248,478
Webster,168,11982
Weimar,484,2240
Weinert,257,170
Weir,2106,504
Welch CDP,196,246
Wellington,785,2044
Wellman,12718,199
Wells,40032,846
Wells Branch CDP,2961,13884
Weslaco,733,41287
West,240,2871
West Alto Bonito CDP,3952,743
Westbrook,379,238
West Columbia,1656,4269
Westdale CDP,1255,417
Western Lake CDP,3172,1644
Westlake,8807,1706
West Lake Hills,1066,3154
West Livingston CDP,28410,9581
Westminster CDP,692,1128
West Odessa CDP,2775,28273
Weston,3487,597
Weston Lakes,811,3327
West Orange,2359,3378
Westover Hills,1645,733
West Sharyland CDP,15753,2240
West Tawakoni,4252,1775
West University Place,1236,15851
Westway CDP,2652,4133
Westwood Shores CDP,8772,1048
Westworth Village,1666,2770
Wharton,953,8634
Wheeler,419,1484
White Deer,8210,1014
Whiteface,6389,439
Whitehouse,3927,9002
White Oak,17204,6469
Whitesboro,1629,4139
White Settlement,2145,17615
Whitewright,105033,1707
Whitney,527,2177
Wichita Falls,2587,106362
Wickett,1293,538
Wild Peach Village CDP,6588,2664
Wildwood CDP,4841,1164
Willis,3623,7144
Willow Park,4019,5515
Wills Point,482,3814
Wilmer,2745,4883
Wilson,5885,484
Wimberley,1059,3127
Windcrest,200,5874
Windemere CDP,400,1236
Windom,526,208
Windthorst,1066,414
Winfield,3454,542
Wink,3372,1033
Winnie CDP,602,3621
Winnsboro,2554,3401
Winona,261,593
Winters,1411,2390
Wixon Valley,4278,244
Wolfe City,1374,1529
Wolfforth,1688,5623
Woodbranch,204,1475
Woodcreek,1484,1687
Woodloch,247,215
Woodsboro,2711,1419
Woodson,9115,250
Woodville,1050,2746
Woodway,2705,9250
Wortham,47588,1076
Wyldwood CDP,396,2719
Wylie,5944,53256
Yantis,2197,411
Yoakum,94,6273
Yorktown,5047,2138
Yznaga CDP,112,76
Zapata CDP,64,4643
Zapata Ranch CDP,731,111
Zarate CDP,393,61
Zavalla,27725192,742
Zuehl CDP,,383
State of Texas,,28901062
